timestamp,load,ram_usage,basestation,flight_number
87750354,0.704786,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
88751436,0.711163,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
89752684,0.70855,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
90754290,0.712958,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
91756573,0.720068,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
92758424,0.710574,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
93759470,0.713835,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
94760436,0.715418,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
95762611,0.719182,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
96763442,0.716257,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
97766103,0.712175,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
98767130,0.712958,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
99768243,0.715933,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
100773640,0.726774,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
101775214,0.757678,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
102777919,0.760027,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
103779439,0.754394,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
104781246,0.757117,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
105781557,0.760114,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
106783914,0.758552,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
107785176,0.756256,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
108786442,0.74448,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
109788334,0.725664,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
110789700,0.722917,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
111791197,0.728669,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
112792549,0.728609,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
113793439,0.720588,0.85632926,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
