timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values0,values1,values2,values3,values4,values5,values6,values7,values8,values9,values10,values11,values12,values13,values14,values15,values16,values17,rc_failsafe,rc_lost,input_source,basestation,flight_number
234298151,234298151,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1685,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
234410065,234410065,18,255,0,0,0,1492,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1685,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
234497901,234497901,18,255,0,0,0,1492,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1739,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
234605934,234605934,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1739,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
234713935,234713935,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1758,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
234801929,234801929,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1758,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
234910114,234910114,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1721,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
235021887,235021887,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1721,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
235109882,235109882,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1777,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
235219734,235219734,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1777,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
235311771,235311771,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1834,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
235423723,235423723,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1834,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
235511618,235511618,18,255,0,0,0,1492,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1834,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
235619414,235619414,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1834,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
235727417,235727417,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1854,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
235819525,235819525,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1854,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
235923772,235923772,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1777,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
236031780,236031780,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1777,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
236137484,236137484,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1834,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
236245471,236245471,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1834,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
236337330,236337330,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1834,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
236445351,236445351,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1854,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
236553156,236553156,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1854,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
236641464,236641464,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1815,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
236749488,236749488,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1815,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
