timestamp,rollspeed,pitchspeed,yawspeed,q0,q1,q2,q3,delta_q_reset0,delta_q_reset1,delta_q_reset2,delta_q_reset3,quat_reset_counter,basestation,flight_number
399066672,-0.033463053,-0.08816482,0.05660607,-0.7622251,0.013851545,0.024678316,-0.64669317,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
399170459,0.05285763,-0.049447175,-0.020612946,-0.7623825,0.013788513,0.024121895,-0.64653,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
399270600,0.0052733202,-0.039324824,0.018965231,-0.7625455,0.013948697,0.02363627,-0.6463522,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
399374570,0.06838243,-0.07289951,0.028499823,-0.76288456,0.013701067,0.023390345,-0.64596623,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
399476165,-0.011811028,0.07440557,-0.03721082,-0.7632874,0.013766112,0.023197321,-0.64549583,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
399576099,-0.03357186,-0.04948891,0.0040234695,-0.7636793,0.0136815095,0.022938196,-0.64504313,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
399676215,0.051222943,0.040693466,0.08810871,-0.76393217,0.013264368,0.022042064,-0.64478356,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
399780057,-0.05070673,0.023826232,0.09626378,-0.7639546,0.014159017,0.021628829,-0.6447521,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
399880098,0.0127180675,0.039127626,-0.035144366,-0.76388824,0.014931079,0.021677947,-0.64481163,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
399980166,-0.041307002,-0.15313089,0.04045831,-0.7638225,0.012956013,0.02414501,-0.6448446,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
400084562,0.033009052,-0.397819,-0.0071084606,-0.76378345,0.0041710385,0.03484511,-0.64451784,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
400184144,-0.050038185,-0.13495798,-0.026340865,-0.76327074,-0.004710418,0.046305493,-0.6444001,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
400288210,0.058148716,-0.10144328,-0.05606341,-0.7627001,-0.008173179,0.050964102,-0.64468956,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
