timestamp,gyro_rad0,gyro_rad1,gyro_rad2,gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s20,accelerometer_m_s21,accelerometer_m_s22,accelerometer_integral_dt,basestation,flight_number
339240384,-0.08538283,-0.04829112,0.053255238,4001,0,0.07954941,1.1890019,-8.939968,4001,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
339344426,-0.047880396,-0.14960621,0.063461445,4003,0,-0.74376476,1.0087801,-8.743673,4003,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
339444384,-0.12273597,0.11706503,0.02356832,4000,0,-0.05625682,0.6227799,-9.519969,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
339548383,-0.09752245,0.03058821,0.1326126,3993,0,-0.5752054,0.3216089,-9.434455,3993,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
339648384,0.03308808,0.028148474,-0.07616828,4000,0,-0.65755856,0.6033117,-8.808758,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
339748404,0.08888242,0.060707495,0.07286283,4020,0,-0.3256412,-0.34315994,-10.38906,4020,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
339852390,0.1460953,0.0765482,-0.036593426,4007,0,-0.41166508,0.0569002,-10.5307255,4007,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
339952384,-0.052230302,-0.0033036594,0.049605902,3999,0,-0.78180426,0.66000205,-10.150188,3999,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
340052384,0.018370291,0.12182361,-0.06563265,4001,0,-0.7330545,0.6045454,-10.163109,4001,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
340153983,-0.07793008,-0.089318156,0.055479422,4789,0,-0.52982605,1.4630327,-9.926536,4789,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
340257983,-0.056143783,-0.06030428,0.12385253,3999,0,-0.9950479,1.3532263,-10.402154,3999,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
340357983,0.11823381,0.070486955,-0.106451795,3985,0,-0.5997939,0.83804697,-9.396061,3985,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
340462030,-0.0102598015,0.10340188,-0.12647982,4040,0,-0.5063323,0.8689695,-10.305183,4040,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
340561984,-0.08137731,-0.119068034,0.017108873,4000,0,-0.8620497,1.2044173,-9.185888,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
340661984,0.056914773,0.10052988,0.004625191,4000,0,0.44932145,0.42137092,-9.445843,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
340765983,0.0029794131,-0.018347558,-0.0010417929,4000,0,-0.66820437,0.48373973,-9.526281,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
340865989,-0.039860364,0.03835261,-0.024320586,4005,0,0.30588016,0.79167545,-8.785184,4005,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
340965984,-0.008750917,0.117007904,-0.003693103,3999,0,0.11363952,-0.22413912,-10.395226,3999,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
341069983,-0.06259277,0.06576296,0.02366387,3999,0,-0.39574942,0.5276284,-9.94951,3999,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
341170783,0.07494374,-0.04122306,-0.047406666,3993,0,0.43552026,0.39352483,-9.3721285,3993,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
341270792,-0.058742862,0.119763605,0.04043277,4008,0,-0.009275617,-0.04967799,-10.651115,4008,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
341374783,-0.0065449895,0.066136144,0.07367635,3984,0,-0.22198074,0.29390585,-10.401577,3984,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
341474784,0.013976874,0.08823405,-0.08286162,4001,0,-1.4280534,-0.046756033,-10.027445,4001,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
341574784,-0.09622639,-0.081563585,0.026933022,4001,0,-0.24599072,1.1833056,-10.621909,4001,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
341678799,-0.063025676,-0.105192795,0.16228636,4015,0,-1.187661,0.8311306,-11.004017,4015,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
341778783,0.191639,0.037940368,-0.11987108,3959,0,-0.96390814,1.1366634,-9.889218,3959,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
341882784,0.11446877,0.14517792,-0.072916284,4001,0,-0.2931412,0.5663117,-10.216251,4001,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
341982831,-0.088828914,-0.16829567,0.064788125,4048,0,-1.0232414,1.6422776,-9.957581,4048,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
342082792,0.147279,-0.0472435,0.009082254,3969,0,-0.91917515,0.4870152,-9.287342,3969,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
342186783,0.04119157,0.010139178,-0.036537174,3989,0,-0.15043479,0.68879455,-10.158684,3989,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
342286784,-0.050232634,-0.09193481,-0.018516308,4001,0,-0.0550632,0.8656995,-8.54708,4001,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
342386793,-0.089388065,0.091528036,0.04779287,4010,0,0.0907098,0.7766688,-9.598947,4010,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
342488407,0.005397962,-0.08266854,0.0906379,4023,0,-0.09217876,1.1669481,-9.411741,4023,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
342592398,-0.06542128,-0.11528005,0.08648511,4014,0,0.078602135,0.91460913,-8.901213,4014,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
342692383,0.10753799,0.1670674,-0.07321831,4000,0,0.16203892,0.22867423,-9.34765,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
342796390,-0.019737067,0.16066302,-0.03569048,4006,0,0.67797095,0.5796182,-9.544838,4006,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
342896383,-0.04909369,0.016340623,-0.013534787,3999,0,0.006167743,0.610266,-9.535527,3999,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
342996384,0.042097215,0.112159416,-0.025014129,3969,0,-0.97200286,-0.22260043,-10.710635,3969,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
343100383,-0.035030153,0.028370913,0.07790694,4000,0,-0.36811376,-0.18456486,-10.515169,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
343200383,0.06796544,-0.026480753,-0.09590177,3993,0,-0.6613884,0.7351683,-9.893686,3993,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
343300384,-0.028241925,-0.15121761,0.07765565,4001,0,-0.771116,1.4641562,-10.545749,4001,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
343404386,-0.07756019,-0.07449071,0.13117278,3994,0,-0.45718277,1.1070609,-10.469376,3994,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
343506020,0.0355874,-0.08538276,-0.13951577,4036,0,-0.9889103,1.4934717,-9.908299,4036,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
343605988,-0.04230888,-0.13623543,0.07980127,4004,0,-0.5986904,1.3368695,-10.262557,4004,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
343709984,-0.090637,-0.11131811,0.10260263,4000,0,-0.32543692,1.2949921,-10.143576,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
343809984,0.07352786,-0.006897102,-0.10794816,4000,0,-0.5900261,0.5097974,-9.410477,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
343909984,-0.11709565,-0.25418195,0.16446458,4000,0,-0.7484628,1.3200372,-9.241017,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
344013984,-0.03190395,-0.1586192,0.10142753,4001,0,-0.37712607,1.1469507,-9.311743,4001,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
344113984,0.028351529,0.049586847,-0.00791982,4000,0,0.15302765,0.39352438,-9.143465,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
344213983,-0.07928645,-0.05326375,0.05076756,3991,0,-0.10557722,1.1013259,-8.976997,3991,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
344317993,-0.06654431,-0.024816848,0.00076354697,4009,0,-0.4186909,0.91860396,-8.617041,4009,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
344418823,0.028605502,0.08984941,0.009611596,4838,0,0.35816523,0.26600236,-9.274531,4838,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
344519605,-0.056392346,-0.054217715,0.06456979,4021,0,-0.04862369,0.86449194,-9.170048,4021,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
344623586,-0.18230118,-0.00876349,0.088198274,4003,0,-0.28890744,0.70647514,-8.897628,4003,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
344727584,-0.12136013,-0.20403185,0.10754989,4000,0,-0.72653353,1.0276902,-9.931692,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
344827590,0.1405393,-0.04182774,-0.062249035,4006,0,-0.52545017,0.87383556,-8.709781,4006,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
344931584,0.15681385,-0.08679811,-0.03400885,4000,0,-0.2928867,1.0287523,-8.606142,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
345031595,-0.095190704,-0.093203075,0.16449793,4011,0,-0.24019895,0.5087719,-9.352369,4011,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
345131583,-0.0021602209,0.11100695,-0.08396609,4000,0,-0.0020214038,0.97655284,-8.800413,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
345235584,0.007088185,0.05971768,-0.030140767,4001,0,0.19875476,1.0186999,-8.442025,4001,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
345335584,-0.028740201,0.09564143,0.049470212,4001,0,-0.40078017,-0.0014221764,-10.080815,4001,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
345437194,-0.117171444,0.00803621,0.09787977,4007,0,0.45909432,0.93372786,-9.940235,4007,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
345537183,0.035274792,0.058300067,-0.10656689,3991,0,-0.3840802,-0.09911409,-10.318823,3991,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
345641194,0.13376126,0.056771953,-0.08207876,4002,0,-0.7015764,0.55743694,-9.168128,4002,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
345741220,0.046938602,0.048819292,0.03515191,4037,0,-0.26027277,0.20202008,-10.674807,4037,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
345845234,0.094100185,0.09539253,-0.035598025,4048,0,-0.49966186,-0.084321186,-10.035377,4048,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
345945193,-0.00051435456,-0.065321095,0.09092779,4007,0,-1.1605561,0.7652288,-10.466432,4007,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
346045200,0.03178454,0.14835817,-0.1065649,3984,0,-0.916891,0.77398604,-10.017152,3984,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
346149197,0.035117578,0.13025235,-0.108526684,4010,0,-1.0934482,0.19051747,-10.334182,4010,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
346249218,-0.003944536,-0.10523749,0.054719333,3987,0,-0.74773407,1.2937781,-10.245769,3987,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
346349203,0.12299005,0.0373979,-0.059890013,4014,0,-0.23948413,0.6533391,-9.31084,4014,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
346450833,0.046797644,-0.081098326,0.060130835,4011,0,-1.0540363,0.09645286,-9.4260845,4011,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
346554784,0.033778477,-0.033133462,-0.040197793,3983,0,-0.6894312,0.99765843,-10.517938,3983,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
346654784,0.004256746,-0.18511389,0.06958633,4000,0,-0.51531845,1.2894932,-8.960197,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
346754784,-0.055166226,0.12752652,0.06930197,3999,0,-0.40833822,0.26216745,-9.251314,3999,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
346858822,-0.0665914,0.020379726,-0.013566694,3994,0,-0.11487666,0.415468,-9.548995,3994,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
346958784,-0.1177444,-0.048171237,-0.012203888,3986,0,-0.10228052,1.0563275,-8.862773,3986,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
347062790,-0.072392166,-0.14101428,0.071412586,4006,0,-1.1873232,0.7885538,-8.589858,4006,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
347166784,-0.006220552,-0.13447201,0.02059244,4000,0,-0.7658068,1.3003298,-9.226832,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
347266784,-0.032878656,0.015708871,0.023181137,3991,0,-0.24662498,0.42976707,-9.299764,3991,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
347370788,-0.03285158,-0.026014902,0.0054094633,4004,0,-0.56631416,0.31928384,-9.643417,4004,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
