timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,basestation,flight_number
174021483,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
175041770,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
176044565,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
177045495,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
178050707,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
179051288,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
180054925,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
181067491,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
182077367,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
183092791,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
184112596,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
185133687,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
186139333,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
187154299,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
188158518,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
189172604,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
190182521,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
191198665,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
192200816,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
193203524,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
194226324,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
195236566,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
196249535,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
197262671,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198277491,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
199285899,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
200303880,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
201325545,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
202339235,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
203344649,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
204346950,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
205352750,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
206374297,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
207384044,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
208389894,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
209405518,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
210427983,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
211433417,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
212442196,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
213446657,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
214455729,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
215467483,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
216484601,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
217492554,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
218509888,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
219511918,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
220521590,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
221543842,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
222545453,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
223563110,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
224572637,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
225587489,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
226607787,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
227617895,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
228622877,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
229640642,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
230646629,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
231646714,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
232659738,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
233667445,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
234686532,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
235695521,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
236702479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
237703116,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
238704413,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
239728073,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
240740563,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
241742479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
