timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d0,q_d1,q_d2,q_d3,thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps,basestation,flight_number
213206520,-0.15335828,-0.3600023,1.9243201,0.0,0.57211053,0.10335963,-0.16389258,0.79696023,0.5657888,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
213307898,-0.15969759,-0.35948682,1.924301,0.0,0.57245255,0.101334654,-0.16627732,0.7964805,0.5675066,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
213406988,-0.16063793,-0.35977608,1.9242772,0.0,0.5725043,0.10118106,-0.16673239,0.7963677,0.57290334,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
213510588,-0.16158478,-0.36042818,1.9242537,0.0,0.5725494,0.10117306,-0.16728951,0.79621947,0.5695879,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
213611778,-0.16344444,-0.361952,1.9242285,0.0,0.57262546,0.101257764,-0.16844903,0.79590946,0.568763,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
213715798,-0.16389532,-0.36254513,1.9242023,0.0,0.57264787,0.10136747,-0.16879241,0.79580665,0.5687187,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
213820269,-0.16240765,-0.36489418,1.9241751,0.0,0.5725389,0.10274552,-0.16884604,0.795697,0.567164,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
213924014,-0.1641735,-0.36202022,1.9241483,0.0,0.57269305,0.10106999,-0.1687619,0.7958183,0.5667012,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
214023296,-0.16157684,-0.3648491,1.924121,0.0,0.5725186,0.102960475,-0.1685059,0.7957559,0.5698487,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
214125396,-0.16669312,-0.36416814,1.9240972,0.0,0.5728019,0.101216845,-0.17035562,0.7953817,0.5695074,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
214229403,-0.16176097,-0.36330217,1.9240716,0.0,0.5725771,0.102275126,-0.16815743,0.7958759,0.5716611,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
214332020,-0.1624205,-0.3557243,1.9240475,0.0,0.57275844,0.099004775,-0.16634136,0.79654026,0.5708028,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
214435881,-0.16865142,-0.35920942,1.9240297,0.0,0.5730131,0.098635055,-0.16977875,0.7956772,0.57137793,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
214539889,-0.1645216,-0.359252,1.9240116,0.0,0.5728147,0.09983383,-0.16814798,0.79601675,0.5699172,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
214639750,-0.1613603,-0.3591647,1.9240044,0.0,0.5726606,0.10070306,-0.16686594,0.79628795,0.56659997,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
214743362,-0.16418077,-0.3595464,1.9240034,0.0,0.5727957,0.10005038,-0.1680935,0.79601485,0.5700348,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
214844057,-0.1614128,-0.35917276,1.9240022,0.0,0.572664,0.10069112,-0.16688918,0.7962821,0.57079256,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
