timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy0,delta_xy1,delta_z,vx,vy,vz,z_deriv,delta_vxy0,delta_vxy1,delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid,limit_hagl,basestation,flight_number
159669754,13347301,29.3754284,-89.5490994,117.62034,-317.9305,-45.008396,0.002658458,0.0024949773,0.0,0.015825957,0.008893894,0.03439398,0.03096295,-0.025008326,-0.022564378,0.061152168,-0.5485404,-0.5648063,0.704708,-2.7305238,3.5881357,46.263355,-0.03439398,0.19540331,0.14690669,0.12036255,0.04904746,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
159769709,13347301,29.3754284,-89.5490994,117.62055,-317.93042,-45.002403,0.002658458,0.0024949773,0.0,0.017584069,0.009333601,0.027743787,0.02803727,-0.025008326,-0.022564378,0.061152168,0.61138546,-0.11689577,1.3534278,-2.7305388,3.5881357,46.257362,-0.027743787,0.19578703,0.14685349,0.12057912,0.049029708,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
159869731,13347301,29.3754284,-89.5490994,117.62074,-317.9305,-44.99619,0.002658458,0.0024949773,0.0,0.014571382,0.008832824,0.019338097,0.02378685,-0.025008326,-0.022564378,0.061152168,-0.29578748,0.4066089,-0.65097874,-2.7309546,3.5881357,46.25115,-0.019338097,0.19542421,0.14668523,0.120417595,0.04900453,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
159973818,13347301,29.3754284,-89.5490994,117.62091,-317.9308,-44.991207,0.002658458,0.0024949773,0.0,0.012871644,0.009430092,0.010815138,0.018384907,-0.025008326,-0.022564378,0.061152168,-0.27141607,0.21163924,-0.48620394,-2.7308257,3.5881357,46.246166,-0.010815138,0.19569035,0.1466351,0.12055576,0.04898822,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
160073641,13347301,29.3754284,-89.5490994,117.62041,-317.9312,-44.989002,0.002658458,0.0024949773,0.0,0.011125445,0.005240977,0.008292546,0.016578874,-0.025008326,-0.022564378,0.061152168,0.43081313,-1.4495021,0.59756315,-2.7298584,3.5881357,46.24396,-0.008292546,0.19599603,0.1465856,0.12071043,0.048972793,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
160177746,13347301,29.3754284,-89.5490994,117.61951,-317.93134,-44.983253,0.002658458,0.0024949773,0.0,0.013825097,0.009263199,0.0018339544,0.014604812,-0.025008326,-0.022564378,0.061152168,0.041588407,-0.24627711,-0.806299,-2.7294805,3.5881357,46.238213,-0.0018339544,0.19633095,0.1465312,0.12089114,0.048954807,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
160281671,13347301,29.3754284,-89.5490994,117.61899,-317.9316,-44.97611,0.002658458,0.0024949773,0.0,0.014638864,0.009472374,-0.0026777268,0.015917026,-0.025008326,-0.022564378,0.061152168,0.07507567,-1.1484399,0.13871299,-2.7294693,3.5881357,46.231068,0.0026777268,0.19670157,0.14687273,0.12106966,0.048970554,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
160381818,13347301,29.3754284,-89.5490994,117.61879,-317.93155,-44.97333,0.002658458,0.0024949773,0.0,0.0178326,0.011240682,-0.007859216,0.012326437,-0.025008326,-0.022564378,0.061152168,0.26390496,-0.54786843,0.7078591,-2.7298694,3.5881357,46.22829,0.007859216,0.19637822,0.14670163,0.12094544,0.04894533,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
160485933,13347301,29.3754284,-89.5490994,117.61876,-317.9311,-44.97125,0.002658458,0.0024949773,0.0,0.022888828,0.014979322,-0.017491998,0.003949661,-0.025008326,-0.022564378,0.061152168,0.31819555,0.29051676,-0.8739161,-2.7301953,3.5881357,46.226208,0.017491998,0.19674739,0.1466508,0.12116,0.048930254,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
160585865,13347301,29.3754284,-89.5490994,117.61906,-317.93054,-44.96979,0.002658458,0.0024949773,0.0,0.022849483,0.015527542,-0.02111852,0.001285922,-0.025008326,-0.022564378,0.061152168,-0.46029088,0.68957955,-0.16769104,-2.7297163,3.5881357,46.22475,0.02111852,0.1970915,0.14660244,0.12132251,0.04891597,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
160685659,13347301,29.3754284,-89.5490994,117.61982,-317.93005,-44.96712,0.002658458,0.0024949773,0.0,0.026013166,0.01584396,-0.023245497,0.0015864456,-0.025008326,-0.022564378,0.061152168,-0.35284016,0.03861237,0.5664331,-2.7299514,3.5881357,46.22208,0.023245497,0.19673552,0.14682657,0.121177666,0.04892359,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
