timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning,basestation,flight_number
64610399,29.37542113490145,-89.54909183979647,2.7564945,-0.0,0.00400585,0.021687001,0.023845505,-1.5722823,0.55628985,1.0727253,2.6610339,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64714543,29.3754211172342,-89.54909182175663,2.753209,-0.0,0.0032429118,0.021720603,0.02371572,-1.5722586,0.55645597,1.0727301,2.659533,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64814452,29.37542110042621,-89.54909180373892,2.750722,-0.0,0.0040057097,0.021309134,0.021979833,-1.5723016,0.55632657,1.0727127,2.6572242,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64914939,29.37542108326926,-89.54909178934493,2.7482176,-0.0,0.0030836056,0.020946875,0.02154504,-1.5723236,0.5564457,1.0727115,2.6556122,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65018502,29.37542107097845,-89.54909177316644,2.74621,-0.0,0.0036761526,0.021577409,0.02105043,-1.5722977,0.55657494,1.0727103,2.6539686,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65118625,29.375421059952696,-89.5490917589859,2.7442896,-0.0,0.0029006838,0.022178499,0.021762986,-1.5722135,0.55645543,1.0727458,2.652161,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65222484,29.37542104763777,-89.54909174401676,2.741496,-0.0,0.0035653282,0.020158274,0.020563481,-1.5722826,0.5565835,1.0727441,2.646575,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65322470,29.375421036093133,-89.54909172833347,2.738023,-0.0,0.0033196777,0.0218497,0.019512463,-1.5723611,0.55670273,1.0727421,2.6403074,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65422450,29.375421023897207,-89.54909171094933,2.7337198,-0.0,0.0023122872,0.02146992,0.019980635,-1.5723383,0.55659103,1.0727236,2.633206,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65524029,29.37542101333405,-89.54909169418771,2.7286406,-0.0,0.0032654929,0.021028688,0.021881403,-1.5724525,0.55670977,1.0727214,2.6293762,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65628161,29.375421005538456,-89.54909167885687,2.7256997,-0.0,0.0020220024,0.020629324,0.019320725,-1.5723941,0.5568392,1.0727727,2.6312475,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65728005,29.375420999428705,-89.54909166667427,2.7222776,-0.0,0.003134532,0.019929359,0.019658845,-1.5722717,0.55676055,1.0727594,2.6244395,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65828195,29.375420995283527,-89.54909165492901,2.7209826,-0.0,-0.0033449496,0.016806109,-0.0066845347,-1.5729883,0.55688685,1.0727569,2.6210306,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65932420,29.37542099254437,-89.54909164286205,2.7175288,-0.0,0.013366875,0.014543583,-0.013169591,-1.5726576,0.55700123,1.0727539,2.613474,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66032200,29.375421002947785,-89.54909162937291,2.71574,-0.0,0.041903883,0.02304578,-0.12256489,-1.5761204,0.55688465,1.0727887,2.5875907,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66136120,29.375421038938946,-89.5490916122213,2.711249,-0.0,0.05915626,0.021014923,-0.33831745,-1.5806957,0.5570204,1.0727856,2.5060682,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66236296,29.37542109366515,-89.54909159775471,2.7052662,-0.0,0.07216542,0.02838698,-0.59579563,-1.5849752,0.5571499,1.072782,2.4125204,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66336192,29.37542116331517,-89.5490915790616,2.7134423,-0.0,0.0882857,0.022057064,-0.862186,-1.5889713,0.557031,1.0728161,2.3481455,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66440159,29.37542124232441,-89.54909156258907,2.7404509,-0.0,0.09561161,0.020505982,-1.0531487,-1.5928087,0.55717856,1.0728121,2.3331766,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66541767,29.37542131816675,-89.54909155140358,2.781228,-0.0,0.097024046,0.0058190157,-1.1539612,-1.5974646,0.5573294,1.0728074,2.3331766,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
