timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,lat_hp,lon_hp,alt_hp,alt_ellipsoid_hp,fix_type,vel_ned_valid,satellites_used,nav_pvt_flags,basestation,flight_number
264752848,1652271821899755,293754275,-895490863,20727,-5507,0.20400001,3.1415925,0.315,0.6677,0.51,1.0,69,39,0.037,0.0050000004,0.037,1.57,4.779052,-28,,0.0,19,3,3,-3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
264863481,1652271821999756,293754275,-895490863,20574,-5661,0.20400001,3.1415925,0.315,0.66749996,0.51,1.0,69,39,0.036000002,-0.020000001,0.030000001,1.5250001,4.779052,-3939,,0.0,11,34,1,5,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
264959526,1652271822099755,293754275,-895490862,20409,-5825,0.20400001,2.2829273,0.315,0.6673,0.51,1.0,69,39,0.058000002,-0.035,0.046000004,1.531,4.779052,-4037,,0.0,-25,-20,4,-2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
265055731,1652271822199755,293754274,-895490862,20257,-5978,0.21000001,1.3227332,0.315,0.6674,0.51,1.0,69,39,0.102000006,-0.056,0.086,1.6040001,4.779052,-4203,,0.0,36,44,-3,2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
265159845,1652271822299755,293754274,-895490861,20094,-6141,0.21100001,1.8344963,0.31509998,0.6677,0.51,1.0,69,39,0.076000005,-0.036000002,0.066,1.5810001,4.779052,-4350,,0.0,-6,19,-3,1,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
265256594,1652271822399755,293754273,-895490860,19932,-6303,0.21200001,1.3889278,0.315,0.66789997,0.51,1.0,69,39,0.083000004,-0.07300001,0.039,1.521,4.779052,-3858,,0.0,42,-28,-1,3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
265355876,1652271822499755,293754273,-895490860,19787,-6447,0.209,1.367908,0.315,0.668,0.51,1.0,69,39,0.09900001,-0.035,0.09200001,1.5150001,4.779052,-4173,,0.0,4,31,3,-3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
265455830,1652271822599755,293754273,-895490859,19634,-6600,0.209,1.2328938,0.31489998,0.66819996,0.51,1.0,69,39,0.108,-0.044000003,0.09900001,1.5270001,4.779052,-4332,,0.0,-27,24,4,-2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
265552563,1652271822699755,293754272,-895490858,19474,-6761,0.20400001,1.131155,0.31469998,0.66789997,0.51,1.0,69,39,0.109000005,-0.069000006,0.085,1.516,4.779052,-3902,,0.0,19,18,-3,1,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
265659475,1652271822799755,293754272,-895490857,19324,-6910,0.202,2.1717172,0.3146,0.6676,0.51,1.0,69,39,0.063,-0.018000001,0.061000004,1.4670001,4.779052,-3423,,0.0,-17,-13,1,-5,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
